"id_stone","label_stone","id_word","label_word","wkt","x","y"
30000088,"252. Gurrane (Ogham Stone Concept by the Ogham in 3D Project)",6,"MAQI","POINT(-9.581944 52.226667)",-9.581944,52.226667
30000088,"252. Gurrane (Ogham Stone Concept by the Ogham in 3D Project)",10,"CUNA","POINT(-9.581944 52.226667)",-9.581944,52.226667
30000088,"252. Gurrane (Ogham Stone Concept by the Ogham in 3D Project)",14,"GLAS","POINT(-9.581944 52.226667)",-9.581944,52.226667
30000088,"252. Gurrane (Ogham Stone Concept by the Ogham in 3D Project)",20,"BRAN","POINT(-9.581944 52.226667)",-9.581944,52.226667
30000088,"252. Gurrane (Ogham Stone Concept by the Ogham in 3D Project)",100,"GLASICONAS","POINT(-9.581944 52.226667)",-9.581944,52.226667
30000090,"255. Tinnahally I (Ogham Stone Concept by the Ogham in 3D Project)",1,"ANM","POINT(-9.7575 52.124722)",-9.7575,52.124722
30000090,"255. Tinnahally I (Ogham Stone Concept by the Ogham in 3D Project)",6,"MAQI","POINT(-9.7575 52.124722)",-9.7575,52.124722
30000091,"256. Tinnahally II (Ogham Stone Concept by the Ogham in 3D Project)",1,"ANM","POINT(-9.7575 52.124722)",-9.7575,52.124722
30000091,"256. Tinnahally II (Ogham Stone Concept by the Ogham in 3D Project)",6,"MAQI","POINT(-9.7575 52.124722)",-9.7575,52.124722
30000092,"26. Donaghmore (Ogham Stone Concept by the Ogham in 3D Project)",6,"MAQI","POINT(-6.551111 53.375278)",-6.551111,53.375278
30000092,"26. Donaghmore (Ogham Stone Concept by the Ogham in 3D Project)",9,"NIOTA","POINT(-6.551111 53.375278)",-6.551111,53.375278
30000092,"26. Donaghmore (Ogham Stone Concept by the Ogham in 3D Project)",17,"LUG","POINT(-6.551111 53.375278)",-6.551111,53.375278
30000092,"26. Donaghmore (Ogham Stone Concept by the Ogham in 3D Project)",23,"TREN","POINT(-6.551111 53.375278)",-6.551111,53.375278
30000093,"263. Ardmore I (Ogham Stone Concept by the Ogham in 3D Project)",6,"MAQI","POINT(-7.729167 51.944167)",-7.729167,51.944167
30000093,"263. Ardmore I (Ogham Stone Concept by the Ogham in 3D Project)",8,"MUCOI","POINT(-7.729167 51.944167)",-7.729167,51.944167
30000093,"263. Ardmore I (Ogham Stone Concept by the Ogham in 3D Project)",9,"NIOTA","POINT(-7.729167 51.944167)",-7.729167,51.944167
30000093,"263. Ardmore I (Ogham Stone Concept by the Ogham in 3D Project)",17,"LUG","POINT(-7.729167 51.944167)",-7.729167,51.944167
30000094,"264. Ardmore II (Ogham Stone Concept by the Ogham in 3D Project)",6,"MAQI","POINT(-7.729167 51.944167)",-7.729167,51.944167
30000096,"266. Dromore I (Ogham Stone Concept by the Ogham in 3D Project)",6,"MAQI","POINT(-7.848889 52.064444)",-7.848889,52.064444
30000096,"266. Dromore I (Ogham Stone Concept by the Ogham in 3D Project)",8,"MUCOI","POINT(-7.848889 52.064444)",-7.848889,52.064444
30000096,"266. Dromore I (Ogham Stone Concept by the Ogham in 3D Project)",10,"CUNA","POINT(-7.848889 52.064444)",-7.848889,52.064444
30000096,"266. Dromore I (Ogham Stone Concept by the Ogham in 3D Project)",17,"LUG","POINT(-7.848889 52.064444)",-7.848889,52.064444
30000097,"267. Dromore II (Ogham Stone Concept by the Ogham in 3D Project)",6,"MAQI","POINT(-7.848889 52.064444)",-7.848889,52.064444
30000097,"267. Dromore II (Ogham Stone Concept by the Ogham in 3D Project)",8,"MUCOI","POINT(-7.848889 52.064444)",-7.848889,52.064444
